ds,y
2023-01-01,27
2023-01-02,32
2023-01-03,25
2023-01-04,22
2023-01-05,33
2023-01-06,27
2023-01-07,18
2023-01-08,36
2023-01-09,28
2023-01-10,25
2023-01-11,43
2023-01-12,31
2023-01-13,23
2023-01-14,51
2023-01-15,26
2023-01-16,31
2023-01-17,35
2023-01-18,24
2023-01-19,26
2023-01-20,38
2023-01-21,35
2023-01-22,40
2023-01-23,17
2023-01-24,40
2023-01-25,26
2023-01-26,20
2023-01-27,28
2023-01-28,20
2023-01-29,21
2023-01-30,39
2023-01-31,22
2023-02-01,35
2023-02-02,33
2023-02-03,29
2023-02-04,37
2023-02-05,22
2023-02-06,32
2023-02-07,30
2023-02-08,32
2023-02-09,20
2023-02-10,25
2023-02-11,33
2023-02-12,28
2023-02-13,23
2023-02-14,34
2023-02-15,33
2023-02-16,26
2023-02-17,22
2023-02-18,29
2023-02-19,28
2023-02-20,24
2023-02-21,20
2023-02-22,26
2023-02-23,34
2023-02-24,27
2023-02-25,22
2023-02-26,34
2023-02-27,30
2023-02-28,22
2023-03-01,44
2023-03-02,21
2023-03-03,36
2023-03-04,25
2023-03-05,30
2023-03-06,41
2023-03-07,33
2023-03-08,37
2023-03-09,35
2023-03-10,28
2023-03-11,32
2023-03-12,22
2023-03-13,21
2023-03-14,32
2023-03-15,30
2023-03-16,24
2023-03-17,35
2023-03-18,38
2023-03-19,32
2023-03-20,26
2023-03-21,34
2023-03-22,33
2023-03-23,22
2023-03-24,30
2023-03-25,34
2023-03-26,23
2023-03-27,20
2023-03-28,27
2023-03-29,32
2023-03-30,33
2023-03-31,34
